rowcode	subject2
101	2
102	1
103	1
104	1
105	1
106	2
107	1
108	2
109	2
110	1
201	1
202	2
203	2
204	2
205	1
206	2
301	1
302	2
303	1
304	1
305	2
306	1
401	2
402	2
403	2
404	2
405	2
406	1
407	1
408	2
409	1
410	2
411	1
412	1
413	2
414	2
415	1
416	1
417	2
418	2
419	1
420	1
421	1
422	1
423	1
424	1
425	2
426	2
427	1
428	2
429	2
430	1
431	1
432	1
433	2
434	2
435	2
436	1
437	1
438	1
439	1
440	1
441	2
442	2
443	2
444	2
445	2
446	1
447	1
448	1
449	2
450	2
451	1
452	2
453	2
454	2
455	1
456	1
457	2
458	1
459	2
460	2
461	1
462	1
463	2
464	1
465	2
466	1
467	2
468	1
501	2
502	2
503	2
504	1
505	2
506	2
507	2
508	1
509	2
510	2
511	2
512	2
513	1
514	1
515	1
516	2
517	1
518	1
519	1
520	1
521	2
522	2
523	1
524	1
525	1
526	1
527	1
528	2
529	2
530	2
531	2
