rowcode	size	treatment
101	22	0
102	21	0
103	21	0
104	25	1
105	18	1
106	18	1
107	18	0
108	24	0
109	25	1
110	22	1
201	21	0
202	20	1
203	21	0
204	21	0
205	22	1
206	21	1
301	21	0
302	19	1
303	21	0
304	21	1
305	19	0
306	21	1
401	21	0
402	21	0
403	21	1
404	21	1
405	18	0
406	21	1
407	21	1
408	21	1
409	19	1
410	23	0
411	21	1
412	15	0
413	21	0
414	21	0
415	21	1
416	26	0
417	21	1
418	21	1
419	21	1
420	21	0
421	20	1
422	21	0
423	21	1
424	21	0
425	21	1
426	21	0
427	21	0
428	21	1
429	25	1
430	18	0
431	14	1
432	24	1
433	21	1
434	21	0
435	21	0
436	21	1
437	26	0
438	21	0
439	21	0
440	21	0
441	21	1
442	20	1
443	21	0
444	21	1
445	24	0
446	21	0
447	21	0
448	20	1
449	21	0
450	21	1
451	25	0
452	20	0
453	21	1
454	21	0
455	21	1
456	19	1
457	21	0
458	24	1
459	21	0
460	15	1
461	15	0
462	21	0
463	21	1
464	20	1
465	16	0
466	21	0
467	21	1
468	21	1
501	21	1
502	19	1
503	11	0
504	13	0
505	23	1
506	14	0
507	9	0
508	25	1
509	7	0
510	25	1
511	25	1
512	13	0
513	25	1
514	10	0
515	23	1
516	25	1
517	20	0
518	25	1
519	15	1
520	15	0
521	11	0
522	25	1
523	16	1
524	9	0
525	14	0
526	9	0
527	12	1
528	6	0
529	12	0
530	25	1
531	16	0
