rowcode	age	treatment
10101	11	0
10102	12	0
10103	13	0
10104	12	0
10105	11	0
10106	13	0
10107	12	0
10108	11	0
10109	13	0
10110	9	0
10111	11	0
10112	12	0
10113	13	0
10114	11	0
10115	12	0
10116	12	0
10117	10	0
10118	11	0
10119	12	0
10120	14	0
10121	10	0
10122	13	0
10201	9	0
10202	10	0
10203	11	0
10204	11	0
10205	12	0
10206	12	0
10207	13	0
10208	11	0
10209	11	0
10210	11	0
10211	11	0
10212	13	0
10213	11	0
10214	999	0
10215	12	0
10216	13	0
10217	11	0
10218	11	0
10219	13	0
10220	13	0
10221	11	0
10301	11	0
10302	12	0
10303	13	0
10304	12	0
10305	11	0
10306	11	0
10307	10	0
10308	13	0
10309	12	0
10310	13	0
10311	14	0
10312	14	0
10313	13	0
10314	13	0
10315	14	0
10316	12	0
10317	13	0
10318	13	0
10319	12	0
10320	11	0
10321	12	0
10401	12	1
10402	11	1
10403	10	1
10404	12	1
10405	10	1
10406	14	1
10407	12	1
10408	11	1
10409	12	1
10410	10	1
10411	11	1
10412	11	1
10413	13	1
10414	12	1
10415	13	1
10416	11	1
10417	11	1
10418	10	1
10419	12	1
10420	11	1
10421	13	1
10422	9	1
10423	12	1
10424	10	1
10425	10	1
10501	10	1
10502	10	1
10503	11	1
10504	10	1
10505	13	1
10506	11	1
10507	10	1
10508	10	1
10509	11	1
10510	10	1
10511	10	1
10512	11	1
10513	12	1
10514	10	1
10515	10	1
10516	10	1
10517	11	1
10518	10	1
10601	11	1
10602	11	1
10603	12	1
10604	12	1
10605	11	1
10606	11	1
10607	11	1
10608	11	1
10609	12	1
10610	10	1
10611	12	1
10612	13	1
10613	12	1
10614	13	1
10615	13	1
10616	13	1
10617	12	1
10618	12	1
10701	12	0
10702	10	0
10703	10	0
10704	12	0
10705	11	0
10706	11	0
10707	11	0
10708	9	0
10709	12	0
10710	10	0
10711	11	0
10712	12	0
10713	11	0
10714	11	0
10715	12	0
10716	10	0
10717	12	0
10718	9	0
10801	11	0
10802	10	0
10803	12	0
10804	999	0
10805	10	0
10806	12	0
10807	999	0
10808	14	0
10809	9	0
10810	13	0
10811	12	0
10812	11	0
10813	12	0
10814	13	0
10815	11	0
10816	13	0
10817	11	0
10818	11	0
10819	10	0
10820	14	0
10821	10	0
10822	10	0
10823	12	0
10824	12	0
10901	12	1
10902	12	1
10903	11	1
10904	11	1
10905	12	1
10906	12	1
10907	12	1
10908	12	1
10909	12	1
10910	12	1
10911	12	1
10912	12	1
10913	12	1
10914	12	1
10915	12	1
10916	12	1
10917	12	1
10918	11	1
10919	12	1
